"BATCHID","INSTANCE_NAME","SNAP_TIME","DB_CPU","CONCURRENCY","DB_TIME","USER_IO","SYSTEM_IO","ADMINISTRATIVE","CONFIGURATION","OTHER","SCHEDULER","APPLICATION","CLUSTER","QUEUEING","COMMIT","NETWORK"
"1818","jydqdb2","2017-06-06 14:00:00","12501.03","0","25240.66","9322","991","0","0","0","0","0","639","0","1395","478"
"1818","jydqdb2","2017-06-13 06:00:00","15338.01","0","29068.87","9569","459","0","0","1833.86","0","0","525","0","676","668"
"1818","jydqdb2","2017-06-07 01:00:00","12739.67","0","39119.57","18116","365","0","0","5402.9","0","0","1593","0","461","442"
"1818","jydqdb2","2017-06-13 12:00:00","29118.05","0","44435.37","11153","978","0","0","0","0","0","418","0","2287","684"
"1818","jydqdb2","2017-05-30 17:00:00","19650.31","0","49665.53","14094","1984","0","0","0","0","0","2216","0","12376","0"
"1818","jydqdb2","2017-05-23 22:00:00","19689.84","0","45782.97","18145","1502","0","0","0","0","0","2871","0","5666","0"
"1818","jydqdb2","2017-05-31 09:00:00","20657.53","0","56189.17","23595","1598","0","0","0","0","0","3249","0","10022","0"
"1818","jydqdb2","2017-05-24 12:00:00","20790.13","0","55665.1","18324","2065","0","0","0","0","0","2403","0","14770","0"
"1818","jydqdb2","2017-05-24 20:00:00","19284.75","0","51868.04","17118","1476","0","0","282.29","0","0","2602","0","11105","0"
"1818","jydqdb2","2017-05-25 08:00:00","17380.02","0","44072.05","19666","1095","0","0","0","0","0","2773","0","4647","410"
"1818","jydqdb2","2017-06-08 22:00:00","21066.63","0","40688.52","11028","1506","0","0","4040.89","0","0","894","0","1630","523"
"1818","jydqdb2","2017-06-09 03:00:00","7977.54","0","23261.06","12525","251","0","0","0","0","0","1311","0","206","6094"
"1818","jydqdb2","2017-06-15 22:00:00","20241.3","0","31196.93","6335","839","0","0","1990.63","0","0","350","0","1004","437"
"1818","jydqdb1","2017-05-21 21:00:00","11809.29","0","52893.27","21454","388","0","0","0","0","18001","2525","0","502","0"
"1818","jydqdb1","2017-06-12 09:00:00","24806.8","0","62663.39","30392","1097","0","0","775.59","0","0","2094","0","3498","0"
"1818","jydqdb1","2017-06-05 14:00:00","82472.3","296","139061.87","4443","962","0","0","38956.57","0","5803","2480","0","3649","0"
"1818","jydqdb1","2017-05-29 08:00:00","18693.3","103","50439.83","27764","353","0","0","0","0","0","3438","0","822","0"
"1818","jydqdb1","2017-05-29 10:00:00","16562.78","0","40227.68","21438","422","0","0","0","0","3084","1715","0","886","0"
"1818","jydqdb1","2017-06-13 03:00:00","19257.38","0","52892.4","16735","284","0","0","0","0","16710","802","0","403","23"
"1818","jydqdb1","2017-06-06 08:00:00","32508.11","0","60635.14","18837","1081","0","0","261.03","0","0","1994","0","5954","0"
"1818","jydqdb1","2017-06-13 15:00:00","24864.33","0","51109.77","19550","1103","0","0","0","0","2682","943","0","3722","0"
"1818","jydqdb1","2017-06-13 17:00:00","23645.12","376","55420.34","19898","1336","0","0","0","0","4521","2461","0","8104","0"
"1818","jydqdb1","2017-06-13 18:00:00","23495.86","184","54990.6","11954","1213","0","0","0","0","11935","1330","0","5980","0"
"1818","jydqdb1","2017-05-30 04:00:00","11409.52","0","47735.34","20588","155","0","0","23.82","0","14352","1046","0","161","0"
"1818","jydqdb1","2017-06-06 22:00:00","32897.36","0","81847.43","27110","1574","0","0","0","0","11666","2699","0","6014","0"
"1818","jydqdb1","2017-06-07 00:00:00","32026.83","0","74538.7","33108","852","0","0","0","0","4430","2474","0","3067","0"
"1818","jydqdb1","2017-06-07 01:00:00","61222.62","97","118486.38","32592","746","0","0","17062.76","0","0","4667","0","2099","0"
"1818","jydqdb1","2017-05-31 06:00:00","12686.17","0","51375.53","19841","97","0","0","656.36","0","16376","1644","0","75","0"
"1818","jydqdb1","2017-06-07 15:00:00","29450.52","134","55547.51","18654","1087","0","0","0","0","1143","1199","0","5359","0"
"1818","jydqdb1","2017-06-07 16:00:00","34008.43","180","75117.05","26952","1144","0","0","4746.62","0","0","2146","0","5940","0"
"1818","jydqdb1","2017-06-08 18:00:00","41905.47","0","71355.77","11888","1232","0","0","0","0","9954","1209","0","5356","0"
"1818","jydqdb1","2017-06-01 13:00:00","17390.88","0","68970.89","17556","352","0","0","28590.01","0","3149","1484","0","449","0"
"1818","jydqdb1","2017-06-16 00:00:00","23502.9","0","64598.01","24670","952","0","0","0","0","16318","1594","0","3030","0"
"1818","jydqdb1","2017-06-16 03:00:00","19634.25","0","48226.64","17100","303","0","0","0","0","11030","1368","0","390","24"
"1818","jydqdb1","2017-05-25 21:00:00","19239.33","0","52326.44","30323","498","0","0","0","0","633","1940","0","750","0"
"1818","jydqdb1","2017-06-10 00:00:00","20360.06","0","57892.11","19772","101","0","0","0","0","17580","1193","0","76","14"
"1818","jydqdb1","2017-06-11 12:00:00","26700.16","904","52562.94","16471","1502","0","0","0","0","0","2859","0","11523","0"
"1818","jydqdb1","2017-06-12 06:00:00","23255.39","135","72073.15","32608","316","0","0","4674.76","0","6389","2956","0","1739","0"
"1818","jydqdb1","2017-06-14 20:00:00","25455.76","0","65647.69","27769","1203","0","0","1036.93","0","3503","1755","0","4925","0"
"1818","jydqdb1","2017-06-16 11:00:00","25244.95","416","51826.85","18824","1596","0","0","0","0","0","1736","0","8120","0"
"1818","jydqdb2","2017-05-17 05:00:00","19749.64","0","55539.94","30629","289","0","0","1877.3","0","0","2118","0","408","469"
"1818","jydqdb2","2017-05-18 02:00:00","17403","0","58842.33","38585","225","0","0","0","0","0","3663","0","446","2797"
"1818","jydqdb2","2017-05-18 04:00:00","16146.36","0","46563.92","28101","135","0","0","0","0","0","2463","0","183","0"
"1818","jydqdb2","2017-05-21 22:00:00","29783.29","0","73217.41","34519","1123","0","0","0","0","0","3456","0","5789","0"
"1818","jydqdb2","2017-05-27 05:00:00","18325.57","0","39077.19","13300","809","0","0","5350.62","0","0","664","0","628","0"
"1818","jydqdb2","2017-05-27 17:00:00","20851.28","0","46452.76","19146","1551","0","0","0","0","0","1913","0","8070","0"
"1818","jydqdb2","2017-05-28 04:00:00","15570.38","0","26241.13","9529","515","0","0","0","0","0","477","0","847","791"
"1818","jydqdb1","2017-05-22 23:00:00","30436.63","1737","66424.77","18730","693","0","624","4101.14","0","0","6245","0","3858","0"
"1818","jydqdb1","2017-05-23 05:00:00","14602.67","359","51711.62","30727","223","0","0","0","0","0","3948","0","2774","0"
"1818","jydqdb1","2017-05-23 15:00:00","70874.71","0","120404.55","30991","535","0","0","13624.84","0","0","3558","0","821","0"
"1818","jydqdb1","2017-05-17 08:00:00","10708.51","0","46131.82","9741","267","0","0","0","0","24394","1119","0","297","0"
"1818","jydqdb1","2017-05-18 08:00:00","11859.3","0","58411.15","31536","253","0","0","5286.85","0","7013","2188","0","275","0"
