@relation bethune-weka.filters.unsupervised.attribute.Add-NSYSTEM-Clast-weka.filters.unsupervised.attribute.Add-TDAT-NtimeList-Clast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute SYSTEM numeric
@attribute timeList date 'yyyy-MM-dd\'T\'HH:mm:ss'

@data
832110592,2017-11-08T00:00:00
832634880,2017-11-09T00:00:00
833159168,2017-11-10T00:00:00
833159168,2017-11-11T00:00:00
833159168,2017-11-12T00:00:00
833159168,2017-11-13T00:00:00
833159168,2017-11-14T00:00:00
833683456,2017-11-15T00:00:00
834207744,2017-11-16T00:00:00
834207744,2017-11-17T00:00:00
834207744,2017-11-18T00:00:00
834207744,2017-11-19T00:00:00
834207744,2017-11-20T00:00:00
835256320,2017-11-21T00:00:00
835256320,2017-11-22T00:00:00
835256320,2017-11-23T00:00:00
835256320,2017-11-24T00:00:00
835256320,2017-11-25T00:00:00
836304896,2017-11-26T00:00:00
836304896,2017-11-27T00:00:00
836304896,2017-11-28T00:00:00
836304896,2017-11-29T00:00:00
836304896,2017-11-30T00:00:00
